"""STATION"",""NAME"",""DATE"",","""PRC","P""",,,,
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",5/1/10,9.4
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",5/2/10,9.4
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",5/3/10,4.1
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",5/4/10,2.5
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",5/5/10,0
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",5/6/10,0
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",5/7/10,2.5
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",5/8/10,8.6
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",5/9/10,0.5
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",5/10/10,0
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",5/11/10,7.6
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",5/12/10,23.1
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",5/13/10,4.1
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",5/14/10,5.1
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",5/15/10,0
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",5/16/10,0
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",5/17/10,0
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",5/18/10,17.8
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",5/19/10,1
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",5/20/10,0
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",5/21/10,3.8
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",5/22/10,71.9
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",5/23/10,0
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",5/24/10,0
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",5/25/10,0
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",5/26/10,0
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",5/27/10,0
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",5/28/10,0
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",5/29/10,0
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",5/30/10,0
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",5/31/10,0
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",6/1/10,18.5
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",6/2/10,0
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",6/3/10,4.1
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",6/4/10,0
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",6/5/10,0
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",6/6/10,57.4
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",6/7/10,0
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",6/8/10,0
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",6/9/10,7.1
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",6/10/10,0
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",6/11/10,0
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",6/12/10,1
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",6/13/10,3.3
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",6/14/10,2
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",6/15/10,0
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",6/16/10,3.3
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",6/17/10,0
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",6/18/10,0
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",6/19/10,15.7
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",6/20/10,0
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",6/21/10,0
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",6/22/10,3.8
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",6/23/10,0
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",6/24/10,12.2
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",6/25/10,0
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",6/26/10,0
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",6/27/10,0
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",6/28/10,6.4
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",6/29/10,0
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",6/30/10,0
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",7/1/10,0
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",7/2/10,0
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",7/3/10,0
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",7/4/10,0
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",7/5/10,0
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",7/6/10,0
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",7/7/10,0
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",7/8/10,0
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",7/9/10,4.6
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",7/10/10,0
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",7/11/10,0
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",7/12/10,0.8
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",7/13/10,0
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",7/14/10,0
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",7/15/10,0
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",7/16/10,0
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",7/17/10,0
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",7/18/10,0
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",7/19/10,0.3
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",7/20/10,0
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",7/21/10,0
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",7/22/10,0
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",7/23/10,1.3
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",7/24/10,45.7
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",7/25/10,5.3
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",7/26/10,0
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",7/27/10,0
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",7/28/10,0
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",7/29/10,0.5
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",7/30/10,0
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",7/31/10,0
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",8/1/10,0
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",8/2/10,0
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",8/3/10,0.5
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",8/4/10,0
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",8/5/10,4.6
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",8/6/10,0
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",8/7/10,0
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",8/8/10,0
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",8/9/10,0
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",8/10/10,0.5
"""US1OHWL0005"",""ALVORDTON",0.5,"E,",OH,"US""",8/11/10,0
