Title:,"Time Series, Area-Averaged of Daily accumulated precipitation (combined microwave-IR) estimate - Final Run daily ()"
User Start Date:,2010-01-01T00:00:00Z
User End Date:,2021-07-20T23:59:59Z
User Bounding Box:,"-84.6606,39.9023,-83.2983,41.1328"
Data Bounding Box:,"-84.65,39.95,-83.35,41.05"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2010-01-01T00:00:00Z&endtime=2021-07-20T23:59:59Z&bbox=-84.6606,39.9023,-83.2983,41.1328&data=GPM_3IMERGDF_06_precipitationCal&portal=GIOVANNI&format=json"
Fill Value (mean_GPM_3IMERGDF_06_precipitationCal):,-9999.9
,
time, mean_GPM_3IMERGDF_06_precipitationCal
1/1/10,0.106114656
1/2/10,0.054964375
1/3/10,0
1/4/10,0.16475822
1/5/10,0.067221373
1/6/10,0
1/7/10,1.0248301
1/8/10,0
1/9/10,0
1/10/10,0
1/11/10,2.66001391
1/12/10,1.25734794
1/13/10,0
1/14/10,0.014587106
1/15/10,0.319001108
1/16/10,0.233236566
1/17/10,3.62262988
1/18/10,0
1/19/10,0.000572021
1/20/10,7.91947317
1/21/10,0
1/22/10,0.101418123
1/23/10,2.49072242
1/24/10,13.9458494
1/25/10,0.057815976
1/26/10,0.017024295
1/27/10,0.002808051
1/28/10,0.007226242
1/29/10,0.13213782
1/30/10,4.0950489
1/31/10,0
2/1/10,0.450690091
2/2/10,0.698599637
2/3/10,0
2/4/10,0.546252251
2/5/10,9.63344002
2/6/10,4.23234081
2/7/10,0.000180526
2/8/10,0
2/9/10,25.5729694
2/10/10,0.077466786
2/11/10,0
2/12/10,0
2/13/10,0
2/14/10,0
2/15/10,3.19933796
2/16/10,0.280359954
2/17/10,0.015532368
2/18/10,0
2/19/10,0
2/20/10,0.166032448
2/21/10,0.310652792
2/22/10,2.45624876
2/23/10,0.573605001
2/24/10,0.711250067
2/25/10,0
2/26/10,1.02089322
2/27/10,0.422205836
2/28/10,0.225842834
3/1/10,0
3/2/10,0.472710848
3/3/10,0
3/4/10,0
3/5/10,0
3/6/10,5.37E-05
3/7/10,0.075079538
3/8/10,1.1624974
3/9/10,1.30447519
3/10/10,1.06098425
3/11/10,7.95222807
3/12/10,0.955333292
3/13/10,26.7912846
3/14/10,2.1597898
3/15/10,0.216800734
3/16/10,0.271769166
3/17/10,0.007996196
3/18/10,0
3/19/10,0.000111863
3/20/10,0.06655854
3/21/10,0.566040635
3/22/10,12.7760735
3/23/10,0.138527378
3/24/10,0.269750625
3/25/10,12.4482489
3/26/10,4.29163933
3/27/10,0.015133919
3/28/10,13.7123747
3/29/10,0.568528116
3/30/10,0
3/31/10,0.035206586
4/1/10,0.00691295
4/2/10,0.206739828
4/3/10,2.19618535
4/4/10,0.261290759
4/5/10,3.45373106
4/6/10,4.0790658
4/7/10,1.61261606
4/8/10,23.7004852
4/9/10,0
4/10/10,0
4/11/10,0.264362693
4/12/10,0.008620576
4/13/10,0.28044197
4/14/10,0.002091931
4/15/10,0.000486194
4/16/10,1.3256973
4/17/10,8.86E-05
4/18/10,0.000519077
4/19/10,0.00915934
4/20/10,0.559578419
4/21/10,0.003020243
4/22/10,0.016023785
4/23/10,1.40367913
4/24/10,10.5968037
4/25/10,13.1146631
4/26/10,2.51027489
4/27/10,0.207747668
4/28/10,0
4/29/10,0.149710909
4/30/10,0.014803588
5/1/10,10.5918655
5/2/10,15.2856703
5/3/10,0.884679556
5/4/10,3.27988982
5/5/10,0.308137476
5/6/10,1.75575268
5/7/10,5.12706327
5/8/10,3.08096075
5/9/10,0.000518073
5/10/10,0.010993998
5/11/10,14.5976124
5/12/10,9.36758804
5/13/10,1.43972766
5/14/10,0.953692853
5/15/10,2.94647527
5/16/10,2.76349258
5/17/10,17.1874866
5/18/10,0.616990089
5/19/10,0.007003202
5/20/10,0.332741916
5/21/10,24.8376446
5/22/10,3.29551315
5/23/10,0.003740781
5/24/10,0.030200427
5/25/10,0.138997808
5/26/10,0.032449272
5/27/10,7.30277252
5/28/10,3.18596244
5/29/10,0.00309667
5/30/10,0
5/31/10,9.09650898
6/1/10,3.31534052
6/2/10,11.3142824
6/3/10,5.08118677
6/4/10,0.454710037
6/5/10,16.3784428
6/6/10,13.1536274
6/7/10,0.015123398
6/8/10,3.13101196
6/9/10,21.7777939
6/10/10,0.031851813
6/11/10,12.395689
6/12/10,0.808807075
6/13/10,10.1950054
6/14/10,1.84950888
6/15/10,17.7124195
6/16/10,3.81053972
6/17/10,0.003252698
6/18/10,0.000309942
6/19/10,5.85407686
6/20/10,0
6/21/10,3.6930182
6/22/10,11.8806696
6/23/10,3.61054659
6/24/10,1.35823143
6/25/10,0
6/26/10,0.272220761
6/27/10,8.3366394
6/28/10,18.9345322
6/29/10,0
6/30/10,0.003855933
7/1/10,0
7/2/10,0.006433943
7/3/10,0.001314238
7/4/10,0.000723262
7/5/10,0.002684386
7/6/10,0
7/7/10,0
7/8/10,3.91317177
7/9/10,3.9482708
7/10/10,0.029928839
7/11/10,0.361112207
7/12/10,14.1957083
7/13/10,3.17651153
7/14/10,0.035084605
7/15/10,0.43550697
7/16/10,2.2312324
7/17/10,0.015048755
7/18/10,4.69543505
7/19/10,0.030032352
7/20/10,1.85223413
7/21/10,0.385714799
7/22/10,0.778088272
7/23/10,0.047636982
7/24/10,2.23944283
7/25/10,16.750061
7/26/10,0.000771899
7/27/10,0.007251395
7/28/10,7.635746
7/29/10,5.10991764
7/30/10,0.12159358
7/31/10,8.4046545
8/1/10,0.00161642
8/2/10,0.255551934
8/3/10,8.74108124
8/4/10,19.7246685
8/5/10,15.8508968
8/6/10,0.014535371
8/7/10,0.000161235
8/8/10,0.198003605
8/9/10,0.035495676
8/10/10,1.38042688
8/11/10,12.3516359
8/12/10,0.081652366
8/13/10,0
8/14/10,6.46450949
8/15/10,1.37822855
8/16/10,0.153985947
8/17/10,0.429607004
8/18/10,0.640404344
8/19/10,0.00321476
8/20/10,0.009073101
8/21/10,5.64825392
8/22/10,0.004515425
8/23/10,0
8/24/10,0
8/25/10,0
8/26/10,0.000313886
8/27/10,0
8/28/10,0
8/29/10,0.000724912
8/30/10,0.016589997
8/31/10,0.004640725
9/1/10,0.000137763
9/2/10,0.420793295
9/3/10,0.327103227
9/4/10,0.012399108
9/5/10,0.00130295
9/6/10,0.917581618
9/7/10,0.477965981
9/8/10,0.000168202
9/9/10,0
9/10/10,0
9/11/10,8.05313492
9/12/10,0
9/13/10,0.016076155
9/14/10,0.386976272
9/15/10,0.021063948
9/16/10,5.95006037
9/17/10,0
9/18/10,0.119094163
9/19/10,0.916781962
9/20/10,0.012003475
9/21/10,0.012655147
9/22/10,5.8405242
9/23/10,0.042826988
9/24/10,0.541861236
9/25/10,0
9/26/10,0.274456859
9/27/10,12.1845665
9/28/10,6.84559822
9/29/10,0.032570999
9/30/10,0.376162112
10/1/10,0.000152834
10/2/10,2.12922931
10/3/10,0.085710667
10/4/10,0.000355243
10/5/10,0.117977932
10/6/10,0.00901481
10/7/10,0.000298868
10/8/10,0
10/9/10,0.006643843
10/10/10,0.000631981
10/11/10,1.29406822
10/12/10,0.024430644
10/13/10,2.7732234
10/14/10,8.00503254
10/15/10,1.20411384
10/16/10,9.77E-05
10/17/10,0.022636313
10/18/10,2.90850616
10/19/10,1.41967976
10/20/10,0.000625372
10/21/10,0.011934567
10/22/10,0.004511312
10/23/10,3.23076391
10/24/10,3.98980141
10/25/10,0.730941236
10/26/10,10.9418812
10/27/10,0.00507637
10/28/10,0.043850485
10/29/10,0.152561799
10/30/10,0.051694419
10/31/10,0.002628036
11/1/10,0.001411817
11/2/10,0.000888954
11/3/10,0.114986904
11/4/10,0.134809524
11/5/10,0.005212624
11/6/10,0
11/7/10,0
11/8/10,0
11/9/10,0
11/10/10,0.002418392
11/11/10,0
11/12/10,0
11/13/10,0.439348817
11/14/10,0.165715143
11/15/10,0.085530907
11/16/10,14.2726135
11/17/10,2.35065675
11/18/10,0.678264081
11/19/10,0
11/20/10,0.051919222
11/21/10,0.138612911
11/22/10,2.27560949
11/23/10,6.18161774
11/24/10,3.4611907
11/25/10,54.4663429
11/26/10,14.3489914
11/27/10,0
11/28/10,0
11/29/10,0.112315498
11/30/10,30.2207584
12/1/10,0.018832862
12/2/10,0
12/3/10,0
12/4/10,0.704497278
12/5/10,0.000194019
12/6/10,0
12/7/10,0.055558272
12/8/10,4.96E-06
12/9/10,0.943143606
12/10/10,1.20935965
12/11/10,4.53000212
12/12/10,8.27799129
12/13/10,3.0368011
12/14/10,0
12/15/10,0
12/16/10,7.58260441
12/17/10,0
12/18/10,0.076929301
12/19/10,0
12/20/10,0.222043931
12/21/10,3.44568372
12/22/10,0.207381591
12/23/10,0
12/24/10,2.00263309
12/25/10,0.62750572
12/26/10,0.00273819
12/27/10,0
12/28/10,0
12/29/10,0.022285495
12/30/10,3.72014904
12/31/10,0.639948487
1/1/11,13.1378946
1/2/11,9.49E-05
1/3/11,0.000673352
1/4/11,0.002431563
1/5/11,0.010741714
1/6/11,0.164172694
1/7/11,0.407661408
1/8/11,0.792574286
1/9/11,0
1/10/11,4.66018248
1/11/11,0.433598906
1/12/11,0.077148147
1/13/11,0.002629657
1/14/11,0.946593463
1/15/11,3.80774164
1/16/11,0.233591199
1/17/11,4.24227142
1/18/11,6.07682705
1/19/11,0.781383097
1/20/11,6.72056103
1/21/11,0.08751072
1/22/11,0.551490486
1/23/11,0.454803646
1/24/11,0
1/25/11,7.30E-05
1/26/11,0.286262065
1/27/11,0.57309705
1/28/11,0.339908212
1/29/11,0
1/30/11,0.012632378
1/31/11,0.16555436
2/1/11,11.4020796
2/2/11,8.94456863
2/3/11,0
2/4/11,0
2/5/11,0.038633838
2/6/11,0.088110402
2/7/11,0.518520832
2/8/11,0.003899588
2/9/11,10.3251696
2/10/11,0.515849888
2/11/11,1.04723465
2/12/11,0.152375832
2/13/11,0.490201116
2/14/11,0.072127633
2/15/11,0.641219735
2/16/11,0.060378246
2/17/11,7.61339474
2/18/11,0.686298788
2/19/11,0.205420569
2/20/11,0.408774942
2/21/11,10.7715979
2/22/11,0.052249219
2/23/11,0.002705709
2/24/11,1.76908231
2/25/11,12.5171366
2/26/11,1.14241028
2/27/11,1.23788655
2/28/11,69.8769989
3/1/11,0.013041537
3/2/11,0.000888118
3/3/11,0.044255778
3/4/11,8.46339226
3/5/11,45.396595
3/6/11,0.400782406
3/7/11,0.003384535
3/8/11,0.368817627
3/9/11,10.0111532
3/10/11,1.2676996
3/11/11,0.288225681
3/12/11,0.761289477
3/13/11,0
3/14/11,0.207955271
3/15/11,5.61445284
3/16/11,0.380672663
3/17/11,0.578107357
3/18/11,3.74258804
3/19/11,0.033244327
3/20/11,0.645915091
3/21/11,7.3735981
3/22/11,6.68977976
3/23/11,8.16601849
3/24/11,2.81151772
3/25/11,0.114085793
3/26/11,0.003393927
3/27/11,0.126136661
3/28/11,0.001196736
3/29/11,0.042066891
3/30/11,1.41224825
3/31/11,0.031503763
4/1/11,0.240312755
4/2/11,0.594776154
4/3/11,0.911226988
4/4/11,48.7107925
4/5/11,0.536305189
4/6/11,0.360055119
4/7/11,1.85926843
4/8/11,3.8198812
4/9/11,1.8036809
4/10/11,0.114732057
4/11/11,8.9676857
4/12/11,2.02111697
4/13/11,0.001838649
4/14/11,0.010801763
4/15/11,2.3708322
4/16/11,3.53547478
4/17/11,0.004207158
4/18/11,1.21784079
4/19/11,22.069479
4/20/11,25.7320118
4/21/11,0.004630286
4/22/11,9.26256084
4/23/11,9.75775719
4/24/11,4.56408167
4/25/11,20.1239357
4/26/11,5.89520454
4/27/11,20.0819931
4/28/11,3.73766494
4/29/11,0.481325924
4/30/11,2.21377277
5/1/11,2.29425502
5/2/11,19.3438454
5/3/11,11.5874052
5/4/11,0.067749769
5/5/11,0.000432377
5/6/11,1.96376002
5/7/11,8.27811146
5/8/11,2.12392402
5/9/11,0.091316551
5/10/11,5.75689173
5/11/11,11.8152142
5/12/11,1.11952376
5/13/11,1.5026716
5/14/11,8.31955719
5/15/11,3.42567015
5/16/11,0.905115187
5/17/11,3.79764152
5/18/11,1.17229223
5/19/11,1.11651134
5/20/11,0.311442733
5/21/11,0.794712484
5/22/11,2.70673275
5/23/11,13.8308411
5/24/11,6.24362516
5/25/11,12.9251194
5/26/11,40.107975
5/27/11,0.902098238
5/28/11,4.83536863
5/29/11,10.5207491
5/30/11,0.103427641
5/31/11,0.005012257
