Title:,"Time Series, Area-Averaged of Daily accumulated precipitation (combined microwave-IR) estimate - Final Run daily 0.1 ()"
User Start Date:,2010-01-01T00:00:00Z
User End Date:,2021-07-01T23:59:59Z
User Bounding Box:,"-83.5345,41.4569,-83.3368,41.6547"
Data Bounding Box:,
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2010-01-01T00:00:00Z&endtime=2021-07-01T23:59:59Z&shape=tl_2014_us_state/shp_24&bbox=-83.5345,41.4569,-83.3368,41.6547&data=GPM_3IMERGDF_06_precipitationCal&variableFacets=dataFieldDiscipline%3AHydrology%3B&portal=GIOVANNI&format=json"
Fill Value (mean_GPM_3IMERGDF_06_precipitationCal):,-9999.9
,
time, mean_GPM_3IMERGDF_06_precipitationCal
1/1/10,0
1/2/10,0.000578105
1/3/10,0.007010087
1/4/10,0.269913018
1/5/10,0.008955324
1/6/10,0.031084988
1/7/10,0.696356177
1/8/10,0
1/9/10,0
1/10/10,0
1/11/10,0.644717872
1/12/10,0.12167719
1/13/10,0
1/14/10,0
1/15/10,0
1/16/10,0
1/17/10,0.406106025
1/18/10,0
1/19/10,0
1/20/10,3.0788722
1/21/10,2.06929612
1/22/10,0.140322477
1/23/10,2.64258456
1/24/10,16.201088
1/25/10,0.035991564
1/26/10,0
1/27/10,0.001418575
1/28/10,0
1/29/10,0
1/30/10,0.181836903
1/31/10,0
2/1/10,0.006666697
2/2/10,9.65E-05
2/3/10,0
2/4/10,0.12931475
2/5/10,3.18095493
2/6/10,0.634570837
2/7/10,0
2/8/10,0
2/9/10,31.7327576
2/10/10,5.49332905
2/11/10,0
2/12/10,0
2/13/10,0
2/14/10,0
2/15/10,0
2/16/10,0
2/17/10,0
2/18/10,0
2/19/10,0
2/20/10,0
2/21/10,0
2/22/10,0.746783197
2/23/10,0.057473797
2/24/10,0.1140154
2/25/10,0
2/26/10,0.808122158
2/27/10,0.349951684
2/28/10,0
3/1/10,0
3/2/10,0
3/3/10,0
3/4/10,0
3/5/10,0
3/6/10,0
3/7/10,0
3/8/10,0
3/9/10,0
3/10/10,1.50730038
3/11/10,1.2778703
3/12/10,4.76974297
3/13/10,5.12093782
3/14/10,1.97143972
3/15/10,0.68764627
3/16/10,0.123873517
3/17/10,0.135586977
3/18/10,0.047960222
3/19/10,0.002130585
3/20/10,0.04292753
3/21/10,0.865471244
3/22/10,8.04695034
3/23/10,0.003351592
3/24/10,0.024410816
3/25/10,13.570776
3/26/10,1.66225243
3/27/10,0.075839192
3/28/10,16.7149296
3/29/10,3.78049636
3/30/10,0
3/31/10,0.007640512
4/1/10,1.92028999
