Title:,"Time Series, Area-Averaged of Daily accumulated precipitation (combined microwave-IR) estimate ()"
User Start Date:,2010-01-01T00:00:00Z
User End Date:,2021-07-01T23:59:59Z
User Bounding Box:,
Data Bounding Box:,
URL to Reproduce Results:,https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2010-01-01T00:00:00Z&endtime=2021-07-01T23:59:59Z&shape=tl_2014_us_state/shp_24&&data=GPM_3IMERGDF_06_precipitationCal&portal=GIOVANNI&format=json
Fill Value (mean_GPM_3IMERGDF_06_precipitationCal):,-9999.9
,
time, mean_GPM_3IMERGDF_06_precipitationCal
1/1/10,0.127733916
1/2/10,0.088858038
1/3/10,0.068327464
1/4/10,0.385809332
1/5/10,0.090221189
1/6/10,0.116623066
1/7/10,1.59480488
1/8/10,0.023807827
1/9/10,0.003350301
1/10/10,0.011025393
1/11/10,1.64379489
1/12/10,0.341265559
1/13/10,0.144828945
1/14/10,0.007986506
1/15/10,0.407416195
1/16/10,2.00372839
1/17/10,7.00209093
1/18/10,0.052943122
1/19/10,0.453337163
1/20/10,5.29166842
1/21/10,0.78354001
1/22/10,0.74366349
1/23/10,1.5959233
1/24/10,25.8664627
1/25/10,3.39865875
1/26/10,0.358581811
1/27/10,0.213364184
1/28/10,0.034074809
1/29/10,1.12894404
1/30/10,3.34891653
1/31/10,0.000795877
2/1/10,0.277103156
2/2/10,0.421741426
2/3/10,0.003092554
2/4/10,0.301424742
2/5/10,10.583169
2/6/10,3.49261928
2/7/10,0.008587334
2/8/10,0.007512849
2/9/10,36.354126
2/10/10,2.38834548
2/11/10,0.077900998
2/12/10,0.000248972
2/13/10,0.00247143
2/14/10,0.000189802
2/15/10,2.35210609
2/16/10,0.697998047
2/17/10,0.037401523
2/18/10,9.70E-05
2/19/10,9.75E-06
2/20/10,0.033584941
2/21/10,0.049288154
2/22/10,2.19347453
2/23/10,0.37600413
2/24/10,0.552299857
2/25/10,0.001111802
2/26/10,0.438075125
2/27/10,0.832782388
2/28/10,0.074711718
3/1/10,0.144897804
3/2/10,0.71143645
3/3/10,0.139293402
3/4/10,0.000558472
3/5/10,0.000175842
3/6/10,7.15E-06
3/7/10,0.034352616
3/8/10,0.711291969
3/9/10,0.48368454
3/10/10,1.67773712
3/11/10,3.23963356
3/12/10,2.80194139
3/13/10,21.0073204
3/14/10,2.33802772
3/15/10,0.361540467
3/16/10,0.138649032
3/17/10,0.012777652
3/18/10,0.005162314
3/19/10,0.008750949
3/20/10,0.035773099
3/21/10,0.489672512
3/22/10,15.2777786
3/23/10,3.4039526
3/24/10,0.109885961
3/25/10,8.97711754
3/26/10,3.22510886
